Date,IMMU,DAKT,COLM,EA,DKS,BCE,CMCSA
1/20/2020,10.36,6.14,97.28,112.41,47.82,47.28,47.3
1/21/2020,10.34,6.01,97.13,113.09,47.9,47.33,47.44
1/22/2020,10.18,6.24,95.71,113.48,46.96,47.64,45.65
1/23/2020,9.91,6.1,93.35,112.33,45.93,47.51,44.59
1/24/2020,10.28,5.97,91.76,110.56,46.47,47.53,44
1/27/2020,10.14,6.03,93.9,111.9,46.23,47.97,44.04
1/28/2020,10,5.93,94.78,112.21,46.33,47.53,43.32
1/29/2020,10.46,5.97,95.53,111.64,45.43,47.61,44.14
1/30/2020,10.22,5.9,93.92,107.92,44.23,47.12,43.19
1/31/2020,10.06,5.88,94,105.04,43.91,46.9,42.66
2/3/2020,9.4,5.86,94.45,107.07,43.61,47.21,44.28
2/4/2020,11.96,5.95,94.95,107.82,45.45,47.4,44.59
2/5/2020,11.4,5.94,94.21,110,45.92,48.31,44.6
2/6/2020,12.12,5.94,90.45,109.09,44.22,48.28,44.74
2/7/2020,10.28,5.98,89.83,108.7,43.75,48.45,44.66
2/10/2020,9.75,6.09,90.44,109.04,44.06,48.28,44.79
2/11/2020,9.57,6.18,91.71,109.72,45.21,48.62,46.02
2/12/2020,9.9,6.25,91.08,108.84,44.77,48.37,46.07
2/13/2020,10.32,6.24,91.43,109.69,44.07,48.55,46.09
2/14/2020,10.06,6.25,90.89,109.46,43.46,49.18,46.15
2/17/2020,9.71,6.17,90.17,109.78,43.31,49.18,45.97
2/18/2020,9.44,6,91.58,109.2,43.43,48.98,46.02
2/19/2020,9.15,5.95,90.89,108.01,42.36,48.83,45.82
2/20/2020,8.83,5.89,88.04,107.03,41.4,48.11,44.6
2/21/2020,9.17,5.59,84.68,105.38,40.71,47.3,43.17
2/24/2020,8.7,5.24,84.39,106.54,38.87,46.88,42.22
2/25/2020,8.86,5.01,83.69,102.74,37.55,45.59,41.05
2/26/2020,8.65,4.92,81.3,101.37,36.41,44.33,40.43
2/27/2020,8.11,5.25,81.97,106.89,36.48,46.5,42.52
2/28/2020,8,5.2,78.13,106.7,35.17,46.22,41.44
3/2/2020,7.76,5.48,82.24,111.83,35.95,47.51,42.5
3/3/2020,7.88,5.23,79.54,110.21,34.16,46.74,40.77
3/4/2020,7.65,5.13,78.81,107.67,34.98,46.53,40.37
3/5/2020,7.58,4.92,72.92,100.93,34.48,42.16,37.88
3/6/2020,7.42,4.91,75.28,103.38,35.87,44.08,39.1
3/9/2020,7.08,4.71,69.08,101.18,30.56,42.16,37.91
3/10/2020,7.28,4.34,64.28,93.35,27,36.8,34.94
3/11/2020,6.96,4.62,70.23,97.06,26.92,40.67,39.33
3/12/2020,6.58,4.55,59.92,88.67,21.19,36.19,36.04
3/13/2020,6.35,5.26,60.35,95.41,18.6,37.81,38.22
3/16/2020,6.34,4.58,58.88,90.21,16.87,36.06,35.68
3/17/2020,6.24,4.45,63.45,90.06,18.61,37.63,35.94
3/18/2020,6.51,4.57,60.35,86.94,16.81,35.9,33.37
3/19/2020,6.75,4.67,56.23,95.47,17.03,31.96,34.17
3/20/2020,6.55,4.66,63.01,94.3,19.55,35.06,34.64
3/23/2020,6.16,4.35,64.49,89.64,20.88,37.69,33.57
3/24/2020,6.5,4.62,70.5,99.2,21.99,39.04,36.74
3/25/2020,6.69,4.37,67.74,95.37,21.74,38.41,34.57
3/26/2020,6.85,4.69,70.92,97.69,22.14,38.97,35.49
3/27/2020,6.63,4.93,69.77,100.17,21.26,40.86,34.38
3/30/2020,6.8,4.42,66.18,97.53,17.78,38.88,32.42
3/31/2020,6.9,4.38,65.88,102.29,18.71,40.41,34.37
4/1/2020,6.55,4.2,65.52,102.83,18.32,40.43,33.95
4/2/2020,6.62,4.45,69.8,106.51,22.19,40.66,36.23
4/3/2020,6.7,4.16,72,106.32,23.85,41.16,36.94
4/6/2020,7.07,4.72,72.35,106.8,25.43,40.87,37.68
4/7/2020,7.03,4.78,75.21,105.8,27.58,41.05,38
4/8/2020,7,4.9,72.15,109.3,24.9,41.79,37.19
4/14/2020,8.2,4.7,74.5,112.03,26.21,42.13,38.52
4/15/2020,7.85,4.69,70.89,113.51,25.11,41.18,37.16
