State,Latitude,Longitude,Total_Cases,Total_Deaths
Alabama,32.318231,-86.902298,220848,3301
Alaska,63.588753,-154.493062,23874,99
Arizona,34.048928,-111.093731,279896,6312
Arkansas,35.20105,-91.831833,135902,2245
California,36.778261,-119.417932,1037978,18299
Colorado,39.550051,-105.782067,172044,2608
Connecticut,41.603221,-73.087749,94986,4771
Delaware,38.910832,-75.52767,29755,742
District of Columbia,38.905985,-77.033418,19309,660
Florida,27.664827,-81.515754,884625,17644
Georgia,32.157435,-82.907123,430571,9008
Hawaii,19.898682,-155.665857,16515,221
Idaho,44.068202,-114.742041,85125,798
Illinois,40.633125,-89.398528,597849,11317
Indiana,40.551217,-85.602364,262207,5025
Iowa,41.878003,-93.097702,191413,2028
Kansas,39.011902,-98.484246,122741,1266
Kentucky,37.839333,-84.270018,142008,1697
Louisiana,31.244823,-92.145024,207685,6156
Maine,45.253783,-69.445469,9519,170
Maryland,39.045755,-76.641271,171823,4351
Massachusetts,42.407211,-71.382437,196670,10338
Michigan,44.314844,-85.602364,296840,8511
Minnesota,46.729553,-94.6859,236949,2999
Mississippi,32.354668,-89.398528,137396,3601
Missouri,37.964253,-91.831833,248886,3453
Montana,46.879682,-110.362566,49398,543
Nebraska,41.492537,-99.901813,103805,816
Nevada,38.80261,-116.419389,123794,1944
New Hampshire,43.193852,-71.572395,15303,502
New Jersey,40.058324,-74.405661,285519,16618
New Mexico,34.97273,-105.032363,67559,1264
New York,43.299428,-74.217933,283503,9544
North Carolina,35.759573,-79.0193,289018,24149
North Dakota,47.551493,-101.002012,317495,4852
Ohio,40.417287,-82.907123,67230,785
Oklahoma,35.007752,-97.092877,312443,5772
Oregon,43.804133,-120.554201,169762,1592
Pennsylvania,41.203322,-77.194525,58570,778
Puerto Rico,18.220833,-66.590149,275513,9355
Rhode Island,41.580095,-71.477429,44528,1278
South Carolina,33.836081,-81.163725,197900,4156
South Dakota,43.969515,-99.901813,67284,644
Tennessee,35.517491,-86.580447,320729,3995
Texas,31.968599,-99.901813,1039513,19696
Utah,39.32098,-111.093731,158957,732
Vermont,44.558803,-72.577841,3104,60
Virginia,37.431573,-78.656894,208834,3860
Washington,47.751074,-120.740139,134121,2571
West Virginia,38.597626,-80.454903,35324,598
Wisconsin,43.78444,-88.787868,342155,2867
Wyoming,43.075968,-107.290284,24453,155
