<<<<<<< HEAD
Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
1/21/2020 16:00:00,94.63,1/21/2020 16:00:00,47.82,1/21/2020 16:00:00,26.97,1/21/2020 16:00:00,13.74,1/21/2020 16:00:00,14.84,1/21/2020 16:00:00,18.09,1/21/2020 16:00:00,104.58,1/21/2020 16:00:00,29.51,1/21/2020 16:00:00,29.46
1/22/2020 16:00:00,94.57,1/22/2020 16:00:00,47.9,1/22/2020 16:00:00,26.19,1/22/2020 16:00:00,13.9,1/22/2020 16:00:00,14.79,1/22/2020 16:00:00,18.31,1/22/2020 16:00:00,104.49,1/22/2020 16:00:00,29.02,1/22/2020 16:00:00,28.95
1/23/2020 16:00:00,85.41,1/23/2020 16:00:00,46.96,1/23/2020 16:00:00,25.84,1/23/2020 16:00:00,14.17,1/23/2020 16:00:00,14.71,1/23/2020 16:00:00,18.78,1/23/2020 16:00:00,103.02,1/23/2020 16:00:00,29.5,1/23/2020 16:00:00,29.28
1/24/2020 16:00:00,84.53,1/24/2020 16:00:00,45.93,1/24/2020 16:00:00,25.73,1/24/2020 16:00:00,13.97,1/24/2020 16:00:00,14.35,1/24/2020 16:00:00,18.61,1/24/2020 16:00:00,102.03,1/24/2020 16:00:00,29.17,1/24/2020 16:00:00,29.1
1/27/2020 16:00:00,82.51,1/27/2020 16:00:00,46.47,1/27/2020 16:00:00,25.98,1/27/2020 16:00:00,13.65,1/27/2020 16:00:00,14.1,1/27/2020 16:00:00,18.45,1/27/2020 16:00:00,100.24,1/27/2020 16:00:00,29.56,1/27/2020 16:00:00,29.49
1/28/2020 16:00:00,83.63,1/28/2020 16:00:00,46.23,1/28/2020 16:00:00,26.28,1/28/2020 16:00:00,13.33,1/28/2020 16:00:00,13.92,1/28/2020 16:00:00,18.68,1/28/2020 16:00:00,100.41,1/28/2020 16:00:00,29.5,1/28/2020 16:00:00,29.4
1/29/2020 16:00:00,84.06,1/29/2020 16:00:00,46.33,1/29/2020 16:00:00,25.87,1/29/2020 16:00:00,14.07,1/29/2020 16:00:00,13.79,1/29/2020 16:00:00,18.68,1/29/2020 16:00:00,99.84,1/29/2020 16:00:00,29.5,1/29/2020 16:00:00,29.32
1/30/2020 16:00:00,84.56,1/30/2020 16:00:00,45.43,1/30/2020 16:00:00,25.66,1/30/2020 16:00:00,13.97,1/30/2020 16:00:00,14.01,1/30/2020 16:00:00,18.55,1/30/2020 16:00:00,98.19,1/30/2020 16:00:00,29.6,1/30/2020 16:00:00,29.55
1/31/2020 16:00:00,82.97,1/31/2020 16:00:00,44.23,1/31/2020 16:00:00,24.78,1/31/2020 16:00:00,13.93,1/31/2020 16:00:00,13.97,1/31/2020 16:00:00,17.96,1/31/2020 16:00:00,96.3,1/31/2020 16:00:00,29.25,1/31/2020 16:00:00,29.15
2/3/2020 16:00:00,82.91,2/3/2020 16:00:00,43.91,2/3/2020 16:00:00,24.23,2/3/2020 16:00:00,13.38,2/3/2020 16:00:00,14.02,2/3/2020 16:00:00,17.98,2/3/2020 16:00:00,99.27,2/3/2020 16:00:00,29.24,2/3/2020 16:00:00,29.15
2/4/2020 16:00:00,83.95,2/4/2020 16:00:00,43.61,2/4/2020 16:00:00,24.23,2/4/2020 16:00:00,13.08,2/4/2020 16:00:00,14.15,2/4/2020 16:00:00,18.42,2/4/2020 16:00:00,101.38,2/4/2020 16:00:00,29.36,2/4/2020 16:00:00,29.3
2/5/2020 16:00:00,84.6,2/5/2020 16:00:00,45.45,2/5/2020 16:00:00,24.99,2/5/2020 16:00:00,13.12,2/5/2020 16:00:00,14.4,2/5/2020 16:00:00,18.5,2/5/2020 16:00:00,100.54,2/5/2020 16:00:00,29.81,2/5/2020 16:00:00,29.84
2/6/2020 16:00:00,84.08,2/6/2020 16:00:00,45.92,2/6/2020 16:00:00,24.97,2/6/2020 16:00:00,13.34,2/6/2020 16:00:00,14.74,2/6/2020 16:00:00,18.4,2/6/2020 16:00:00,100.27,2/6/2020 16:00:00,29.5,2/6/2020 16:00:00,29.4
