Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
1/21/2020 16:00:00,104.58,1/21/2020 16:00:00,18.09,1/21/2020 16:00:00,47.82,1/21/2020 16:00:00,143.56,1/21/2020 16:00:00,47.3,1/21/2020 16:00:00,11.66,1/21/2020 16:00:00,141.86,1/21/2020 16:00:00,38.52
1/22/2020 16:00:00,104.49,1/22/2020 16:00:00,18.31,1/22/2020 16:00:00,47.9,1/22/2020 16:00:00,144.01,1/22/2020 16:00:00,47.44,1/22/2020 16:00:00,11.37,1/22/2020 16:00:00,143.38,1/22/2020 16:00:00,39.04
1/23/2020 16:00:00,103.02,1/23/2020 16:00:00,18.78,1/23/2020 16:00:00,46.96,1/23/2020 16:00:00,142.2,1/23/2020 16:00:00,45.65,1/23/2020 16:00:00,11.77,1/23/2020 16:00:00,143.65,1/23/2020 16:00:00,38.63
1/24/2020 16:00:00,102.03,1/24/2020 16:00:00,18.61,1/24/2020 16:00:00,45.93,1/24/2020 16:00:00,140.08,1/24/2020 16:00:00,44.59,1/24/2020 16:00:00,11.71,1/24/2020 16:00:00,142.92,1/24/2020 16:00:00,38.5
1/27/2020 16:00:00,100.24,1/27/2020 16:00:00,18.45,1/27/2020 16:00:00,46.47,1/27/2020 16:00:00,135.9,1/27/2020 16:00:00,44,1/27/2020 16:00:00,11.44,1/27/2020 16:00:00,142.14,1/27/2020 16:00:00,38.25
1/28/2020 16:00:00,100.41,1/28/2020 16:00:00,18.68,1/28/2020 16:00:00,46.23,1/28/2020 16:00:00,138.37,1/28/2020 16:00:00,44.04,1/28/2020 16:00:00,11.73,1/28/2020 16:00:00,142.44,1/28/2020 16:00:00,38.58
1/29/2020 16:00:00,99.84,1/29/2020 16:00:00,18.68,1/29/2020 16:00:00,46.33,1/29/2020 16:00:00,136.06,1/29/2020 16:00:00,43.32,1/29/2020 16:00:00,12.94,1/29/2020 16:00:00,141.73,1/29/2020 16:00:00,37.05
1/30/2020 16:00:00,98.19,1/30/2020 16:00:00,18.55,1/30/2020 16:00:00,45.43,1/30/2020 16:00:00,137.81,1/30/2020 16:00:00,44.14,1/30/2020 16:00:00,12.73,1/30/2020 16:00:00,143.83,1/30/2020 16:00:00,37.43
1/31/2020 16:00:00,96.3,1/31/2020 16:00:00,17.96,1/31/2020 16:00:00,44.23,1/31/2020 16:00:00,138.31,1/31/2020 16:00:00,43.19,1/31/2020 16:00:00,12.45,1/31/2020 16:00:00,142.02,1/31/2020 16:00:00,37.62
2/3/2020 16:00:00,99.27,2/3/2020 16:00:00,17.98,2/3/2020 16:00:00,43.91,2/3/2020 16:00:00,141.32,2/3/2020 16:00:00,42.66,2/3/2020 16:00:00,12.26,2/3/2020 16:00:00,142.51,2/3/2020 16:00:00,36.96
2/4/2020 16:00:00,101.38,2/4/2020 16:00:00,18.42,2/4/2020 16:00:00,43.61,2/4/2020 16:00:00,144.73,2/4/2020 16:00:00,44.28,2/4/2020 16:00:00,12.58,2/4/2020 16:00:00,143.22,2/4/2020 16:00:00,37.63
2/5/2020 16:00:00,100.54,2/5/2020 16:00:00,18.5,2/5/2020 16:00:00,45.45,2/5/2020 16:00:00,141.37,2/5/2020 16:00:00,44.59,2/5/2020 16:00:00,12.86,2/5/2020 16:00:00,144.3,2/5/2020 16:00:00,37.81
2/6/2020 16:00:00,100.27,2/6/2020 16:00:00,18.4,2/6/2020 16:00:00,45.92,2/6/2020 16:00:00,142.7,2/6/2020 16:00:00,44.6,2/6/2020 16:00:00,12.95,2/6/2020 16:00:00,144.33,2/6/2020 16:00:00,38.44
2/7/2020 16:00:00,99.44,2/7/2020 16:00:00,17.97,2/7/2020 16:00:00,44.22,2/7/2020 16:00:00,141.02,2/7/2020 16:00:00,44.74,2/7/2020 16:00:00,12.83,2/7/2020 16:00:00,145.37,2/7/2020 16:00:00,38.45
2/10/2020 16:00:00,100.02,2/10/2020 16:00:00,18.15,2/10/2020 16:00:00,43.75,2/10/2020 16:00:00,142.59,2/10/2020 16:00:00,44.66,2/10/2020 16:00:00,12.91,2/10/2020 16:00:00,145.66,2/10/2020 16:00:00,38.34
2/11/2020 16:00:00,100.02,2/11/2020 16:00:00,15.12,2/11/2020 16:00:00,44.06,2/11/2020 16:00:00,141.01,2/11/2020 16:00:00,44.79,2/11/2020 16:00:00,12.85,2/11/2020 16:00:00,146.08,2/11/2020 16:00:00,38.17
2/12/2020 16:00:00,103,2/12/2020 16:00:00,15.45,2/12/2020 16:00:00,45.21,2/12/2020 16:00:00,141.85,2/12/2020 16:00:00,46.02,2/12/2020 16:00:00,13.16,2/12/2020 16:00:00,146.08,2/12/2020 16:00:00,38.04
2/13/2020 16:00:00,103.37,2/13/2020 16:00:00,15.13,2/13/2020 16:00:00,44.77,2/13/2020 16:00:00,140.9,2/13/2020 16:00:00,46.07,2/13/2020 16:00:00,12.94,2/13/2020 16:00:00,146.47,2/13/2020 16:00:00,38.31
2/14/2020 16:00:00,103.54,2/14/2020 16:00:00,15.45,2/14/2020 16:00:00,44.07,2/14/2020 16:00:00,139.54,2/14/2020 16:00:00,46.09,2/14/2020 16:00:00,12.83,2/14/2020 16:00:00,146.99,2/14/2020 16:00:00,38.25
2/18/2020 16:00:00,102,2/18/2020 16:00:00,15,2/18/2020 16:00:00,43.46,2/18/2020 16:00:00,139.14,2/18/2020 16:00:00,46.15,2/18/2020 16:00:00,12.75,2/18/2020 16:00:00,145.6,2/18/2020 16:00:00,38.26
2/19/2020 16:00:00,102.46,2/19/2020 16:00:00,14.96,2/19/2020 16:00:00,43.31,2/19/2020 16:00:00,141.3,2/19/2020 16:00:00,45.97,2/19/2020 16:00:00,12.61,2/19/2020 16:00:00,145.53,2/19/2020 16:00:00,38.44
2/20/2020 16:00:00,102.53,2/20/2020 16:00:00,14.94,2/20/2020 16:00:00,43.43,2/20/2020 16:00:00,140.37,2/20/2020 16:00:00,46.02,2/20/2020 16:00:00,12.53,2/20/2020 16:00:00,145.16,2/20/2020 16:00:00,38.61
2/21/2020 16:00:00,100.25,2/21/2020 16:00:00,14.57,2/21/2020 16:00:00,42.36,2/21/2020 16:00:00,138.97,2/21/2020 16:00:00,45.82,2/21/2020 16:00:00,12.25,2/21/2020 16:00:00,145.85,2/21/2020 16:00:00,38.55
2/24/2020 16:00:00,95.91,2/24/2020 16:00:00,14.14,2/24/2020 16:00:00,41.4,2/24/2020 16:00:00,133.01,2/24/2020 16:00:00,44.6,2/24/2020 16:00:00,11.86,2/24/2020 16:00:00,142.64,2/24/2020 16:00:00,38.05
2/25/2020 16:00:00,92.9,2/25/2020 16:00:00,13.46,2/25/2020 16:00:00,40.71,2/25/2020 16:00:00,128.19,2/25/2020 16:00:00,43.17,2/25/2020 16:00:00,11.32,2/25/2020 16:00:00,141.1,2/25/2020 16:00:00,37.35
2/26/2020 16:00:00,92,2/26/2020 16:00:00,13.04,2/26/2020 16:00:00,38.87,2/26/2020 16:00:00,123.36,2/26/2020 16:00:00,42.22,2/26/2020 16:00:00,10.95,2/26/2020 16:00:00,141.98,2/26/2020 16:00:00,37.1
2/27/2020 16:00:00,88.55,2/27/2020 16:00:00,12.55,2/27/2020 16:00:00,37.55,2/27/2020 16:00:00,118.04,2/27/2020 16:00:00,41.05,2/27/2020 16:00:00,10.39,2/27/2020 16:00:00,136.37,2/27/2020 16:00:00,35.73
2/28/2020 16:00:00,89.38,2/28/2020 16:00:00,12.48,2/28/2020 16:00:00,36.41,2/28/2020 16:00:00,117.65,2/28/2020 16:00:00,40.43,2/28/2020 16:00:00,10.88,2/28/2020 16:00:00,132.03,2/28/2020 16:00:00,35.22
3/2/2020 16:00:00,92.68,3/2/2020 16:00:00,12.49,3/2/2020 16:00:00,36.48,3/2/2020 16:00:00,119.98,3/2/2020 16:00:00,42.52,3/2/2020 16:00:00,11.21,3/2/2020 16:00:00,137.58,3/2/2020 16:00:00,37.18
3/3/2020 16:00:00,90.93,3/3/2020 16:00:00,12.2,3/3/2020 16:00:00,35.17,3/3/2020 16:00:00,116.45,3/3/2020 16:00:00,41.44,3/3/2020 16:00:00,10.88,3/3/2020 16:00:00,135.58,3/3/2020 16:00:00,36.3
3/4/2020 16:00:00,93.79,3/4/2020 16:00:00,12.39,3/4/2020 16:00:00,35.95,3/4/2020 16:00:00,119.18,3/4/2020 16:00:00,42.5,3/4/2020 16:00:00,10.95,3/4/2020 16:00:00,142.39,3/4/2020 16:00:00,38.18
3/5/2020 16:00:00,90.58,3/5/2020 16:00:00,11.73,3/5/2020 16:00:00,34.16,3/5/2020 16:00:00,113.98,3/5/2020 16:00:00,40.77,3/5/2020 16:00:00,10.08,3/5/2020 16:00:00,138.1,3/5/2020 16:00:00,37.18
3/6/2020 16:00:00,88.36,3/6/2020 16:00:00,11.14,3/6/2020 16:00:00,34.98,3/6/2020 16:00:00,115.27,3/6/2020 16:00:00,40.37,3/6/2020 16:00:00,9.4,3/6/2020 16:00:00,137.26,3/6/2020 16:00:00,37.03
3/9/2020 16:00:00,84.11,3/9/2020 16:00:00,9.91,3/9/2020 16:00:00,34.48,3/9/2020 16:00:00,104.35,3/9/2020 16:00:00,37.88,3/9/2020 16:00:00,8.21,3/9/2020 16:00:00,130.16,3/9/2020 16:00:00,34.69
