<<<<<<< HEAD
Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
1/20/2020 17:00:00,10.36,1/20/2020 16:00:00,0.02,1/21/2020 16:00:00,6.14,1/21/2020 16:00:00,97.28,1/21/2020 16:00:00,112.41,1/21/2020 16:00:00,47.82,1/21/2020 16:00:00,47.28,1/21/2020 16:00:00,47.3
1/21/2020 17:00:00,10.34,1/21/2020 16:00:00,0.02,1/22/2020 16:00:00,6.01,1/22/2020 16:00:00,97.13,1/22/2020 16:00:00,113.09,1/22/2020 16:00:00,47.9,1/22/2020 16:00:00,47.33,1/22/2020 16:00:00,47.44
1/22/2020 17:00:00,10.18,1/22/2020 16:00:00,0.02,1/23/2020 16:00:00,6.24,1/23/2020 16:00:00,95.71,1/23/2020 16:00:00,113.48,1/23/2020 16:00:00,46.96,1/23/2020 16:00:00,47.64,1/23/2020 16:00:00,45.65
1/23/2020 17:00:00,9.91,1/23/2020 16:00:00,0.02,1/24/2020 16:00:00,6.1,1/24/2020 16:00:00,93.35,1/24/2020 16:00:00,112.33,1/24/2020 16:00:00,45.93,1/24/2020 16:00:00,47.51,1/24/2020 16:00:00,44.59
1/24/2020 17:00:00,10.28,1/24/2020 16:00:00,0.02,1/27/2020 16:00:00,5.97,1/27/2020 16:00:00,91.76,1/27/2020 16:00:00,110.56,1/27/2020 16:00:00,46.47,1/27/2020 16:00:00,47.53,1/27/2020 16:00:00,44
1/27/2020 17:00:00,10.14,1/28/2020 16:00:00,0.02,1/28/2020 16:00:00,6.03,1/28/2020 16:00:00,93.9,1/28/2020 16:00:00,111.9,1/28/2020 16:00:00,46.23,1/28/2020 16:00:00,47.97,1/28/2020 16:00:00,44.04
1/28/2020 17:00:00,10,1/29/2020 16:00:00,0.02,1/29/2020 16:00:00,5.93,1/29/2020 16:00:00,94.78,1/29/2020 16:00:00,112.21,1/29/2020 16:00:00,46.33,1/29/2020 16:00:00,47.53,1/29/2020 16:00:00,43.32
1/29/2020 17:00:00,10.46,1/30/2020 16:00:00,0.02,1/30/2020 16:00:00,5.97,1/30/2020 16:00:00,95.53,1/30/2020 16:00:00,111.64,1/30/2020 16:00:00,45.43,1/30/2020 16:00:00,47.61,1/30/2020 16:00:00,44.14
1/30/2020 17:00:00,10.22,1/31/2020 16:00:00,0.02,1/31/2020 16:00:00,5.9,1/31/2020 16:00:00,93.92,1/31/2020 16:00:00,107.92,1/31/2020 16:00:00,44.23,1/31/2020 16:00:00,47.12,1/31/2020 16:00:00,43.19
1/31/2020 17:00:00,10.06,2/3/2020 16:00:00,0.02,2/3/2020 16:00:00,5.88,2/3/2020 16:00:00,94,2/3/2020 16:00:00,105.04,2/3/2020 16:00:00,43.91,2/3/2020 16:00:00,46.9,2/3/2020 16:00:00,42.66
2/3/2020 17:00:00,9.4,2/4/2020 16:00:00,0.02,2/4/2020 16:00:00,5.86,2/4/2020 16:00:00,94.45,2/4/2020 16:00:00,107.07,2/4/2020 16:00:00,43.61,2/4/2020 16:00:00,47.21,2/4/2020 16:00:00,44.28
2/4/2020 17:00:00,11.96,2/5/2020 16:00:00,0.02,2/5/2020 16:00:00,5.95,2/5/2020 16:00:00,94.95,2/5/2020 16:00:00,107.82,2/5/2020 16:00:00,45.45,2/5/2020 16:00:00,47.4,2/5/2020 16:00:00,44.59
2/5/2020 17:00:00,11.4,2/6/2020 16:00:00,0.02,2/6/2020 16:00:00,5.94,2/6/2020 16:00:00,94.21,2/6/2020 16:00:00,110,2/6/2020 16:00:00,45.92,2/6/2020 16:00:00,48.31,2/6/2020 16:00:00,44.6
2/6/2020 17:00:00,12.12,2/7/2020 16:00:00,0.02,2/7/2020 16:00:00,5.94,2/7/2020 16:00:00,90.45,2/7/2020 16:00:00,109.09,2/7/2020 16:00:00,44.22,2/7/2020 16:00:00,48.28,2/7/2020 16:00:00,44.74
2/7/2020 17:00:00,10.28,2/10/2020 16:00:00,0.02,2/10/2020 16:00:00,5.98,2/10/2020 16:00:00,89.83,2/10/2020 16:00:00,108.7,2/10/2020 16:00:00,43.75,2/10/2020 16:00:00,48.45,2/10/2020 16:00:00,44.66
2/10/2020 17:00:00,9.75,2/11/2020 16:00:00,0.02,2/11/2020 16:00:00,6.09,2/11/2020 16:00:00,90.44,2/11/2020 16:00:00,109.04,2/11/2020 16:00:00,44.06,2/11/2020 16:00:00,48.28,2/11/2020 16:00:00,44.79
2/11/2020 17:00:00,9.57,2/12/2020 16:00:00,0.02,2/12/2020 16:00:00,6.18,2/12/2020 16:00:00,91.71,2/12/2020 16:00:00,109.72,2/12/2020 16:00:00,45.21,2/12/2020 16:00:00,48.62,2/12/2020 16:00:00,46.02
2/12/2020 17:00:00,9.9,2/13/2020 16:00:00,0.02,2/13/2020 16:00:00,6.25,2/13/2020 16:00:00,91.08,2/13/2020 16:00:00,108.84,2/13/2020 16:00:00,44.77,2/13/2020 16:00:00,48.37,2/13/2020 16:00:00,46.07
2/13/2020 17:00:00,10.32,2/17/2020 16:00:00,0.02,2/14/2020 16:00:00,6.24,2/14/2020 16:00:00,91.43,2/14/2020 16:00:00,109.69,2/14/2020 16:00:00,44.07,2/14/2020 16:00:00,48.55,2/14/2020 16:00:00,46.09
2/14/2020 17:00:00,10.06,2/18/2020 16:00:00,0.02,2/18/2020 16:00:00,6.25,2/18/2020 16:00:00,90.89,2/18/2020 16:00:00,109.46,2/18/2020 16:00:00,43.46,2/18/2020 16:00:00,49.18,2/18/2020 16:00:00,46.15
2/17/2020 17:00:00,9.71,2/19/2020 16:00:00,0.02,2/19/2020 16:00:00,6.17,2/19/2020 16:00:00,90.17,2/19/2020 16:00:00,109.78,2/19/2020 16:00:00,43.31,2/19/2020 16:00:00,49.18,2/19/2020 16:00:00,45.97
2/18/2020 17:00:00,9.44,2/20/2020 16:00:00,0.02,2/20/2020 16:00:00,6,2/20/2020 16:00:00,91.58,2/20/2020 16:00:00,109.2,2/20/2020 16:00:00,43.43,2/20/2020 16:00:00,48.98,2/20/2020 16:00:00,46.02
2/19/2020 17:00:00,9.15,2/21/2020 16:00:00,0.02,2/21/2020 16:00:00,5.95,2/21/2020 16:00:00,90.89,2/21/2020 16:00:00,108.01,2/21/2020 16:00:00,42.36,2/21/2020 16:00:00,48.83,2/21/2020 16:00:00,45.82
2/20/2020 17:00:00,8.83,2/25/2020 16:00:00,0.02,2/24/2020 16:00:00,5.89,2/24/2020 16:00:00,88.04,2/24/2020 16:00:00,107.03,2/24/2020 16:00:00,41.4,2/24/2020 16:00:00,48.11,2/24/2020 16:00:00,44.6
2/21/2020 17:00:00,9.17,2/26/2020 16:00:00,0.02,2/25/2020 16:00:00,5.59,2/25/2020 16:00:00,84.68,2/25/2020 16:00:00,105.38,2/25/2020 16:00:00,40.71,2/25/2020 16:00:00,47.3,2/25/2020 16:00:00,43.17
2/24/2020 17:00:00,8.7,2/27/2020 16:00:00,0.02,2/26/2020 16:00:00,5.24,2/26/2020 16:00:00,84.39,2/26/2020 16:00:00,106.54,2/26/2020 16:00:00,38.87,2/26/2020 16:00:00,46.88,2/26/2020 16:00:00,42.22
2/25/2020 17:00:00,8.86,2/28/2020 16:00:00,0.02,2/27/2020 16:00:00,5.01,2/27/2020 16:00:00,83.69,2/27/2020 16:00:00,102.74,2/27/2020 16:00:00,37.55,2/27/2020 16:00:00,45.59,2/27/2020 16:00:00,41.05
2/26/2020 17:00:00,8.65,3/2/2020 16:00:00,0.02,2/28/2020 16:00:00,4.92,2/28/2020 16:00:00,81.3,2/28/2020 16:00:00,101.37,2/28/2020 16:00:00,36.41,2/28/2020 16:00:00,44.33,2/28/2020 16:00:00,40.43
2/27/2020 17:00:00,8.11,3/3/2020 16:00:00,0.02,3/2/2020 16:00:00,5.25,3/2/2020 16:00:00,81.97,3/2/2020 16:00:00,106.89,3/2/2020 16:00:00,36.48,3/2/2020 16:00:00,46.5,3/2/2020 16:00:00,42.52
2/28/2020 17:00:00,8,3/4/2020 16:00:00,0.01,3/3/2020 16:00:00,5.2,3/3/2020 16:00:00,78.13,3/3/2020 16:00:00,106.7,3/3/2020 16:00:00,35.17,3/3/2020 16:00:00,46.22,3/3/2020 16:00:00,41.44
3/2/2020 17:00:00,7.76,3/5/2020 16:00:00,0.01,3/4/2020 16:00:00,5.48,3/4/2020 16:00:00,82.24,3/4/2020 16:00:00,111.83,3/4/2020 16:00:00,35.95,3/4/2020 16:00:00,47.51,3/4/2020 16:00:00,42.5
3/3/2020 17:00:00,7.88,3/9/2020 16:00:00,0.01,3/5/2020 16:00:00,5.23,3/5/2020 16:00:00,79.54,3/5/2020 16:00:00,110.21,3/5/2020 16:00:00,34.16,3/5/2020 16:00:00,46.74,3/5/2020 16:00:00,40.77
3/4/2020 17:00:00,7.65,3/10/2020 16:00:00,0.01,3/6/2020 16:00:00,5.13,3/6/2020 16:00:00,78.81,3/6/2020 16:00:00,107.67,3/6/2020 16:00:00,34.98,3/6/2020 16:00:00,46.53,3/6/2020 16:00:00,40.37
3/5/2020 17:00:00,7.58,3/11/2020 16:00:00,0.01,3/9/2020 16:00:00,4.92,3/9/2020 16:00:00,72.92,3/9/2020 16:00:00,100.93,3/9/2020 16:00:00,34.48,3/9/2020 16:00:00,42.16,3/9/2020 16:00:00,37.88
3/6/2020 17:00:00,7.42,3/12/2020 16:00:00,0.01,3/10/2020 16:00:00,4.91,3/10/2020 16:00:00,75.28,3/10/2020 16:00:00,103.38,3/10/2020 16:00:00,35.87,3/10/2020 16:00:00,44.08,3/10/2020 16:00:00,39.1
3/9/2020 17:00:00,7.08,3/13/2020 16:00:00,0.01,3/11/2020 16:00:00,4.71,3/11/2020 16:00:00,69.08,3/11/2020 16:00:00,101.18,3/11/2020 16:00:00,30.56,3/11/2020 16:00:00,42.16,3/11/2020 16:00:00,37.91
3/10/2020 17:00:00,7.28,3/18/2020 16:00:00,0.01,3/12/2020 16:00:00,4.34,3/12/2020 16:00:00,64.28,3/12/2020 16:00:00,93.35,3/12/2020 16:00:00,27,3/12/2020 16:00:00,36.8,3/12/2020 16:00:00,34.94
3/11/2020 17:00:00,6.96,3/19/2020 16:00:00,0.01,3/13/2020 16:00:00,4.62,3/13/2020 16:00:00,70.23,3/13/2020 16:00:00,97.06,3/13/2020 16:00:00,26.92,3/13/2020 16:00:00,40.67,3/13/2020 16:00:00,39.33
3/12/2020 17:00:00,6.58,3/23/2020 16:00:00,0.01,3/16/2020 16:00:00,4.55,3/16/2020 16:00:00,59.92,3/16/2020 16:00:00,88.67,3/16/2020 16:00:00,21.19,3/16/2020 16:00:00,36.19,3/16/2020 16:00:00,36.04
3/13/2020 17:00:00,6.35,3/24/2020 16:00:00,0.01,3/17/2020 16:00:00,5.26,3/17/2020 16:00:00,60.35,3/17/2020 16:00:00,95.41,3/17/2020 16:00:00,18.6,3/17/2020 16:00:00,37.81,3/17/2020 16:00:00,38.22
3/16/2020 17:00:00,6.34,3/26/2020 16:00:00,0.01,3/18/2020 16:00:00,4.58,3/18/2020 16:00:00,58.88,3/18/2020 16:00:00,90.21,3/18/2020 16:00:00,16.87,3/18/2020 16:00:00,36.06,3/18/2020 16:00:00,35.68
3/17/2020 17:00:00,6.24,3/27/2020 16:00:00,0.01,3/19/2020 16:00:00,4.45,3/19/2020 16:00:00,63.45,3/19/2020 16:00:00,90.06,3/19/2020 16:00:00,18.61,3/19/2020 16:00:00,37.63,3/19/2020 16:00:00,35.94
