State/Territory,Total Cases,Confirmed Cases,Probable Cases,Cases in Last 7 Days,Case Rate per 100000,Total Deaths,Confirmed Deaths,Probable Deaths,Deaths in Last 7 Days,Death Rate per 100000,Case Rate per 100000 in Last 7 Days,Death Rate per 100K in Last 7 Days
Alaska,18198,N/A,N/A,2924,2468,84,N/A,N/A,2,11,56.6,0
Alabama,202482,171773,30709,10197,4142,3082,2864,218,115,63,29.8,0.3
Arkansas,120828,N/A,N/A,8638,4009,2068,N/A,N/A,143,68,40.9,0.7
American Samoa,0,N/A,N/A,0,0,0,N/A,N/A,0,0,0,0
Arizona,257339,250749,6590,11393,3588,6147,5730,417,168,85,22.7,0.3
California,956957,N/A,N/A,34952,2419,17939,N/A,N/A,313,45,12.6,0.1
Colorado,127967,120382,7585,20617,2247,2389,1990,399,104,41,51.7,0.3
Connecticut,78125,73206,4919,6918,2187,4671,3757,914,55,130,27.7,0.2
District of Columbia,17891,N/A,N/A,625,2547,654,N/A,N/A,8,93,12.7,0.2
Delaware,26258,25057,1201,1132,2715,716,629,87,6,74,16.7,0.1
Florida,825906,N/A,N/A,33909,3878,17100,N/A,N/A,339,80,22.7,0.2
Federated States of Micronesia,0,0,0,0,0,0,N/A,N/A,0,0,0,0
Georgia,371825,N/A,N/A,11035,3535,8193,N/A,N/A,214,77,15,0.3
Guam,5077,N/A,N/A,449,3063,88,N/A,N/A,9,53,38.7,0.8
Hawaii,15707,N/A,N/A,712,1106,219,N/A,N/A,1,15,7.2,0
Iowa,149273,N/A,N/A,21307,4730,1829,N/A,N/A,113,57,96.4,0.5
Idaho,72312,62160,10152,7704,4122,683,633,50,54,38,62.7,0.4
Illinois,477978,477978,0,61379,3752,10488,10154,334,448,82,68.8,0.5
Indiana,205722,N/A,N/A,26364,3074,4592,4348,244,260,68,56.3,0.6
Kansas,97633,88409,9224,12452,3353,1166,N/A,N/A,137,40,61.1,0.7
Kentucky,119661,99815,19846,12442,2678,1561,1534,27,76,34,39.8,0.2
Louisiana,191715,N/A,N/A,5066,4114,6016,5787,229,97,129,15.5,0.3
Massachusetts,174832,164936,9896,10415,2533,10111,9903,208,137,146,21.6,0.3
Maryland,153996,N/A,N/A,7851,2548,4212,4063,149,60,69,18.6,0.1
Maine,7692,6841,851,1024,575,152,N/A,N/A,5,11,10.9,0.1
Michigan,229003,207794,21209,31597,2293,7945,7578,367,246,79,45.2,0.4
Minnesota,174954,N/A,N/A,26482,3118,2679,2597,82,168,47,67.4,0.4
Missouri,205066,N/A,N/A,19531,3347,3150,N/A,N/A,124,51,45.5,0.3
Northern Mariana Islands,98,98,0,2,0,2,2,0,0,3,0.5,0
Mississippi,126689,108217,18472,6189,4242,3443,3072,371,95,115,29.6,0.5
Montana,38948,38948,0,6147,3666,445,445,0,70,41,82.7,0.9
North Carolina,291245,278200,13045,16610,2805,4605,4511,94,227,44,22.9,0.3
North Dakota,54305,N/A,N/A,9262,7145,639,N/A,N/A,108,84,174.1,2
Nebraska,82395,N/A,N/A,11663,4271,703,N/A,N/A,51,36,86.4,0.4
New Hampshire,12241,N/A,N/A,1157,902,489,N/A,N/A,6,36,12.2,0.1
New Jersey,252582,N/A,N/A,14696,2835,16425,14625,1800,75,184,23.6,0.1
New Mexico,53671,N/A,N/A,7181,2561,1104,N/A,N/A,86,52,49,0.6
Nevada,108746,N/A,N/A,7983,3584,1850,N/A,N/A,73,60,37.6,0.3
New York,255780,N/A,N/A,11509,2295,9340,N/A,N/A,77,83,14.8,0.1
New York City,273464,261889,11575,6836,3256,24074,19410,4664,61,286,11.6,0.1
Ohio,245727,232171,13556,30030,2102,5506,5177,329,205,47,36.7,0.3
Oklahoma,144736,122824,21912,15545,3671,1446,1404,42,102,36,56.3,0.4
Oregon,49587,47867,1720,4666,1183,729,714,15,40,17,15.9,0.1
Pennsylvania,227985,215737,12248,19958,1780,9015,N/A,N/A,203,70,22.3,0.2
Puerto Rico,38100,37999,101,4794,1192,872,669,203,40,27,21.4,0.2
Palau,0,N/A,N/A,0,0,0,N/A,N/A,0,0,0,0
Rhode Island,36380,N/A,N/A,3506,3441,1224,N/A,N/A,23,115,47.4,0.3
Republic of Marshall Islands,1,1,0,0,2,0,N/A,N/A,0,0,0,0
South Carolina,184742,174862,9880,8130,3634,4015,3756,259,80,78,22.8,0.2
South Dakota,53976,N/A,N/A,7984,6118,523,486,37,98,59,129.3,1.6
Tennessee,278215,261202,17013,17543,4110,3590,3370,220,237,53,37,0.5
Texas,950549,N/A,N/A,49953,3312,18700,N/A,N/A,676,65,24.9,0.3
Utah,130235,130235,0,15579,4120,658,648,10,54,20,70.4,0.2
Virginia,192176,176220,15956,9783,2256,3707,3441,266,58,43,16.4,0.1
Virgin Islands,1405,N/A,N/A,27,1342,23,N/A,N/A,2,21,3.7,0.3
Vermont,2347,N/A,N/A,190,375,59,N/A,N/A,1,9,4.3,0
Washington,116011,N/A,N/A,8510,1540,2439,N/A,N/A,73,32,16.1,0.1
Wisconsin,277503,263130,14373,39633,4773,2381,2301,80,289,40,97.4,0.7
West Virginia,27578,25178,2400,3118,1527,502,N/A,N/A,45,27,24.7,0.4
Wyoming,16597,14045,2552,3299,2873,105,105,0,18,18,81.6,0.5
United States of America,9808411,4137923,276985,728598,2964,236547,125703,12115,6575,71,31.5,0.3
